Model,Stages,"RMSE(a, recon(f))","PSNR(a, recon(f))"
TV,2,0.03702897,28.656187056684992
TNRD_3x3,2,0.03701462,28.659240037540297
TNRD_5x5,2,0.037032437,28.65483423253482
TNRD_7x7,2,0.03702885,28.656131884752245
TV,3,0.030600961,30.333378303598504
TNRD_3x3,3,0.030575857,30.344145081944294
TNRD_5x5,3,0.030593248,30.33357141432411
TNRD_7x7,3,0.030618096,30.326126225965602
TV,5,0.02420691,32.394457538204826
TNRD_3x3,5,0.02428894,32.36467926318413
TNRD_5x5,5,0.024212884,32.39562497250585
TNRD_7x7,5,0.024231538,32.387949234456016
TV,7,0.020719523,33.766063303744644
TNRD_3x3,7,0.020736087,33.762272806666665
TNRD_5x5,7,0.020793363,33.72560733477083
TNRD_7x7,7,0.020719932,33.76399317733585
TV,10,0.017527469,35.22846407830956
TNRD_3x3,10,0.017585376,35.202332881907545
TNRD_5x5,10,0.017515404,35.23846480372675
TNRD_7x7,10,0.017551731,35.2148986314241
TV,12,0.016009526,36.020430686631165
TNRD_3x3,12,0.016156688,35.948684516028976
TNRD_5x5,12,0.016065057,35.99287472710761
TNRD_7x7,12,0.016049331,36.00386707730781
TV,15,0.014376517,36.95706120942751
TNRD_3x3,15,0.014513176,36.88949624888819
TNRD_5x5,15,0.014424585,36.94095750097761
TNRD_7x7,15,0.014412004,36.94749181033825
